median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act
41793.0,0.60241935483871,0.542056074766355,0.574034334763948,0.111111111111111,High,Regular School,NJ,2016-2017,7306,16.5384615384615
38173.0,0.469225199131064,0.339655172413793,0.711428571428571,0.135245901639344,High,Regular School,IN,2016-2017,47567,20.3675213675214
39635.0,0.567360815979601,0.270175438596491,0.694513715710723,0.0834191555097837,High,Regular School,PA,2016-2017,15853,20.3479853479853
40978.0,0.467613873798579,0.315555555555556,0.766901408450704,0.0625312656328164,High,Regular School,MO,2016-2017,64644,21.6
36875.0,0.6044703595724,0.548409893992933,0.803435114503817,0.0714285714285714,High,Regular School,FL,2016-2017,34669,21.0561660561661
54436.0,0.544425956738769,0.316742081447964,0.664634146341463,0.066027296200664,High,Regular School,OH,2016-2017,45103,21.0
52611.0,0.598029556650246,0.227814569536424,0.7372634643377,0.125307125307125,High,Regular School,NC,2016-2017,27295,21.6178266178266
55495.0,0.621509824198552,0.282850779510022,0.546511627906977,0.102463405926455,High,Regular School,PA,2016-2017,17109,19.957264957265
42395.0,0.724230976794388,0.201901975128018,0.657657657657658,0.044683257918552,High,Regular School,OH,2016-2017,44094,22.0
66492.0,0.599102468212416,0.230769230769231,0.881448957189901,0.109261630388391,High,Regular School,IL,2016-2017,61024,19.9
46311.0,0.558862259678694,0.294753086419753,0.774193548387097,0.139800811508668,High,Regular School,OH,2016-2017,45784,22.0
58150.0,0.693184261449151,0.240103270223752,0.758444216990788,0.128991060025543,High,Regular School,NC,2016-2017,27312,21.7155067155067
82383.0,0.769630914045083,0.117326057298772,0.915375446960667,0.0554335894621295,High,Regular School,OH,2016-2017,44514,22.0
31838.0,0.439821693907875,0.99718574108818,0.0667613636363636,0.200902934537246,High,Regular School,PA,2016-2017,19138,14.3162393162393
37989.0,0.50157444894287,0.5829059829059831,0.660727542687454,0.114352392065344,High,Regular School,KY,2016-2017,41164,17.7
42961.0,0.662458836443469,0.541570969223702,0.649797570850202,0.0778061224489796,High,Regular School,GA,2016-2017,30039,19.2246642246642
60985.0,0.52201106567236,0.174789915966387,0.778656126482213,0.0720562390158172,High,Regular School,IN,2016-2017,46181,21.7301587301587
44741.0,0.472772277227723,0.253731343283582,0.458767772511848,0.0894833948339483,High,Regular School,TX,2016-2017,77639,21.4468864468864
43507.0,0.467188440698374,0.228571428571429,0.752486187845304,0.0694259012016021,High,Regular School,MO,2016-2017,64489,18.7
63929.0,0.530216647662486,0.340909090909091,0.771386430678466,0.0657124268054652,High,Regular School,PA,2016-2017,15759,20.5677655677656
