median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act
48514.0,0.518151815181518,0.253521126760563,0.697963800904977,0.0693897637795276,High,Regular School,WI,2016-2017,54112,21.0
26012.0,0.548486403283735,0.0,0.0553846153846154,0.0725915875169607,High,Regular School,PA,2016-2017,17101,20.6654456654457
58050.0,0.653129161118509,0.215568862275449,0.834146341463415,0.108870967741935,High,Regular School,IN,2016-2017,46064,21.7912087912088
55303.0,0.825794894760412,0.923828125,1.0,0.0420906567992599,High,Regular School,MO,2016-2017,63103,15.6
39814.0,0.618495193901226,0.693817468105986,0.572972972972973,0.110554561717352,High,Regular School,KY,2016-2017,40214,15.7
34808.0,0.549180327868853,0.116279069767442,0.291079812206573,0.0273224043715847,Other,Regular School,MI,2016-2017,48143,20.2
50347.0,0.470340604668963,0.311111111111111,0.682926829268293,0.0995418575593503,High,Regular School,IN,2016-2017,46931,20.6239316239316
34916.0,0.437338262476895,0.587924528301887,0.557109557109557,0.197058823529412,High,Regular School,GA,2016-2017,30741,22.0573870573871
16908.0,0.310924369747899,0.709756097560976,0.352380952380952,0.271914132379249,Other,Regular School,MI,2016-2017,49503,16.8
47740.0,0.778764335923049,0.994094488188976,0.4,0.0755813953488372,High,Regular School,NY,2016-2017,11224,18.0769230769231
99236.0,0.73984813469792,0.188679245283019,0.794693619709413,0.0989599747872676,High,Regular School,IL,2016-2017,60544,19.6
58750.0,0.50057361376673,0.336092715231788,0.34,0.0692464358452139,High,Regular School,PA,2016-2017,18229,22.1550671550672
76771.0,0.711182336182336,0.195793690535804,0.680024660912454,0.0339948909412458,High,Regular School,LA,2016-2017,70734,22.4
38635.0,0.467443729903537,0.475862068965517,0.48384030418251,0.0706713780918728,High,Regular School,OH,2016-2017,43113,20.0
26138.0,0.364886303543099,0.654456654456654,0.461981566820277,0.150220913107511,High,Regular School,LA,2016-2017,70438,19.5
57128.0,0.605359317904994,0.331325301204819,0.664130434782609,0.0824601366742597,High,Regular School,IL,2016-2017,62515,19.8
90341.0,0.760287081339713,0.443059982613735,0.814734561213434,0.0805555555555556,High,Regular School,TX,2016-2017,77373,19.029304029304
36853.0,0.477350219191427,0.458333333333333,0.435754189944134,0.185185185185185,High,Regular School,FL,2016-2017,33711,17.5152625152625
44221.0,0.618048618048618,0.351162790697674,0.531655844155844,0.0801127214170692,High,Regular School,MI,2016-2017,48706,20.2
65559.0,0.663454410674574,0.675757575757576,0.58421052631579,0.00412201154163232,High,Regular School,TN,2016-2017,38305,15.8
26111.0,0.27171276079573,0.570980392156863,0.442056074766355,0.208421052631579,High,Regular School,TN,2016-2017,37757,17.7
95388.0,0.7986994628216,0.110252447192169,0.76752546434991,0.0802410402790993,,,,,,24.0
46753.0,0.595064498037016,0.313218390804598,0.638474295190713,0.0617816091954023,High,Regular School,TN,2016-2017,37763,19.8
46962.0,0.561868686868687,0.564409030544489,0.524324324324324,0.0512048192771084,High,Regular School,NY,2016-2017,11373,20.0549450549451
55524.0,0.503219415552254,0.238505747126437,0.712790697674419,0.0673854447439353,Other,Regular School,IN,2016-2017,46161,22.2234432234432
41793.0,0.60241935483871,0.542056074766355,0.574034334763948,0.111111111111111,High,Regular School,NJ,2016-2017,7306,16.5384615384615
69698.0,0.731793265465936,0.276923076923077,0.786677908937605,0.0437796424662532,High,Regular School,WI,2016-2017,53186,25.8
41904.0,0.603576751117735,0.821626617375231,0.627425614489004,0.0490605427974948,High,Regular School,KY,2016-2017,40215,15.3
76759.0,0.642315644383184,0.35796766743649,0.912698412698413,0.0607315389924086,High,Regular School,NJ,2016-2017,8065,18.2722832722833
53587.0,0.484575835475578,0.809160305343511,0.719101123595506,0.0477590007347539,High,Regular School,OH,2016-2017,45381,22.0
33832.0,0.581487341772152,0.289855072463768,0.451787648970748,0.116029822926375,High,Regular School,NC,2016-2017,27886,21.8131868131868
37222.0,0.331914893617021,0.907407407407407,0.530685920577617,0.066003616636528,High,Regular School,GA,2016-2017,31648,18.7362637362637
38036.0,0.5230044345898,0.372216330858961,0.829338446788111,0.0691651432053626,High,Regular School,IL,2016-2017,60707,20.0
40605.0,0.353609766364976,0.474285714285714,0.652536929993577,0.176130895091434,High,Regular School,NC,2016-2017,28135,18.2722832722833
44817.0,0.443323727185399,0.0,0.592930444697834,0.0574712643678161,High,Regular School,OH,2016-2017,44854,22.0
59688.0,0.500311720698254,0.750155376009944,0.576603773584906,0.179159663865546,High,Regular School,FL,2016-2017,33169,15.7326007326007
24970.0,0.54656862745098,0.0,0.382124352331606,0.0975935828877005,Other,Regular School,PA,2016-2017,15059,21.3980463980464
76653.0,0.749301498602997,0.439584340260996,0.821646341463415,0.0613924933724013,High,Regular School,TX,2016-2017,78045,19.2246642246642
34254.0,0.516351118760757,0.539731682146543,0.365819209039548,0.121455776555226,High,Regular School,TX,2016-2017,78218,19.8107448107448
50739.0,0.373791621911923,0.452631578947368,0.553511705685619,0.119109102646869,High,Regular School,DE,2016-2017,19950,15.996336996337
18208.0,0.224669603524229,0.920997920997921,0.491379310344828,0.190023752969121,High,Regular School,GA,2016-2017,31779,19.0537240537241
37975.0,0.569286142771446,0.78405524168236,0.302828618968386,0.216918429003021,High,Regular School,IL,2016-2017,60409,16.9
46607.0,0.559034572733203,0.994661921708185,0.726429675425039,0.108285479901559,Other,Regular School,NY,2016-2017,11432,17.3199023199023
54447.0,0.519083969465649,0.486206896551724,0.768808347062054,0.0165837479270315,High,Regular School,TX,2016-2017,78332,20.2258852258852
